,Unnamed: 0,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
341,341,20,60.0,8400,4,4,1950,1950,1,1,3,10,2,0.0,2,2,4,1,0,721,721,841,0,841,1,0,2,1,2,4,1,0,4,1950.0,2,1,294,250,0,24,9,2009,82000
342,342,90,1978.5061638868744,8544,3,4,1949,1950,1,1,10,9,1,340.0,5,4,3,5,0,0,0,1040,0,1040,2,0,2,2,2,6,1,0,2,1949.0,2,2,400,0,0,0,5,2006,87500
343,343,120,63.0,8849,9,5,2005,2005,2,1,2,2,1,616.0,1,3,1,1,28,1656,1684,1684,0,1684,2,0,2,1,3,6,1,1,1,2005.0,1,2,564,495,72,0,7,2008,266000
344,344,160,36.0,2592,5,3,1976,1976,1,1,7,7,2,0.0,2,1,1,1,129,175,536,536,576,1112,1,1,3,1,2,4,1,0,1,1976.0,2,1,336,182,0,0,4,2010,85000
345,345,50,65.0,6435,6,5,1939,1950,1,1,2,2,2,0.0,3,2,1,1,0,972,972,972,605,1577,1,0,3,1,4,6,1,1,2,1939.0,2,1,312,0,0,0,10,2006,140200
346,346,20,1978.5061638868744,12772,6,8,1960,1998,2,1,2,2,2,0.0,2,2,1,3,498,460,958,958,0,958,1,0,2,1,2,5,1,0,1,1960.0,1,1,301,0,0,0,4,2007,151500
347,347,20,1978.5061638868744,17600,6,5,1960,1960,1,1,3,6,1,30.0,2,2,1,1,1270,208,1478,1478,0,1478,2,0,3,1,2,6,1,2,1,1960.0,2,2,498,0,40,0,12,2009,157500
348,348,160,36.0,2448,7,5,2003,2004,1,1,1,3,3,106.0,1,1,1,1,573,191,764,764,862,1626,2,1,2,1,1,6,1,0,3,2003.0,1,2,474,0,27,0,10,2008,154000
349,349,60,56.0,20431,9,5,2005,2006,2,1,7,7,1,870.0,1,3,1,1,1410,438,1848,1848,880,2728,2,1,4,1,3,10,1,2,1,2006.0,3,3,706,0,0,0,4,2006,437154
350,350,120,68.0,7820,9,5,2007,2007,2,1,2,2,1,362.0,1,3,1,1,0,1869,1869,1869,0,1869,2,0,2,1,3,6,1,1,1,2007.0,1,2,617,210,54,0,12,2007,318061
351,351,120,1978.5061638868744,5271,7,5,1986,1986,1,1,3,6,2,0.0,1,1,1,2,1082,371,1453,1453,0,1453,1,1,2,1,1,6,1,1,1,1986.0,1,2,445,0,80,0,12,2006,190000
352,352,50,60.0,9084,5,6,1941,1950,1,1,1,1,2,0.0,2,2,4,3,236,0,616,616,495,1111,1,0,3,1,2,5,1,0,2,1941.0,2,1,200,48,0,0,3,2008,95000
353,353,30,60.0,8520,6,8,1928,2003,1,1,1,1,2,0.0,3,2,1,1,0,624,624,720,0,720,1,0,2,1,2,5,1,0,2,2005.0,2,2,484,106,0,0,5,2010,105900
354,354,50,60.0,8400,6,5,1940,2000,1,1,3,2,2,0.0,2,2,1,1,388,552,940,1192,403,1595,1,0,2,1,2,6,1,2,1,1940.0,2,1,240,0,0,108,6,2006,140000
355,355,20,105.0,11249,6,5,1995,1995,1,1,1,1,2,0.0,1,1,2,1,334,322,1200,1200,0,1200,2,0,3,1,1,6,1,0,1,1995.0,1,2,521,0,26,0,8,2007,177500
356,356,20,1978.5061638868744,9248,6,6,1992,1992,1,1,4,4,1,106.0,1,1,1,1,560,598,1158,1167,0,1167,2,0,3,1,1,6,1,0,1,1992.0,1,2,400,120,26,0,7,2009,173000
357,357,120,44.0,4224,5,5,1976,1976,1,1,7,7,2,0.0,1,1,1,1,874,268,1142,1142,0,1142,1,1,3,1,2,6,1,1,1,1976.0,3,2,528,536,90,0,8,2007,134000
358,358,80,92.0,6930,5,4,1958,1958,2,1,3,12,1,120.0,2,2,1,4,300,468,1062,1352,0,1352,1,0,3,1,1,6,4,0,3,1958.0,2,1,288,168,0,294,7,2006,130000
359,359,60,78.0,12011,8,5,1998,1998,1,1,1,1,1,530.0,1,1,1,4,956,130,1086,1086,838,1924,2,1,3,1,1,7,1,1,1,1998.0,1,2,592,208,75,0,6,2006,280000
360,360,85,1978.5061638868744,7540,6,6,1978,1978,1,1,1,1,2,0.0,2,1,1,4,773,115,888,912,0,912,1,0,2,1,2,5,1,1,1,1978.0,1,2,470,0,0,0,6,2007,156000
361,361,50,1978.5061638868744,9144,5,5,1940,1982,1,1,2,2,2,0.0,2,2,1,1,399,484,883,988,517,1505,1,0,3,1,2,8,1,0,2,1940.0,2,1,240,0,0,0,7,2008,145000
362,362,85,64.0,7301,7,5,2003,2003,1,1,4,4,1,500.0,5,4,3,5,0,0,0,495,1427,1922,3,0,4,1,1,7,1,1,3,2003.0,1,2,672,0,0,177,7,2009,198500
363,363,160,21.0,1680,6,8,1972,2007,1,1,4,4,1,510.0,2,2,1,1,162,321,483,483,504,987,1,1,2,1,1,5,1,0,2,1972.0,2,1,264,250,0,0,5,2009,118000
364,364,60,1978.5061638868744,18800,6,5,1976,1976,1,1,4,4,1,120.0,1,1,1,3,712,84,796,790,784,1574,2,1,3,1,2,6,1,1,1,1976.0,3,2,566,306,111,0,7,2006,190000
365,365,70,59.0,10690,5,7,1920,1997,2,1,1,1,2,0.0,2,2,4,1,456,216,672,672,672,1344,1,0,3,1,2,6,1,0,2,1964.0,2,1,468,0,128,218,7,2009,147000
366,366,20,1978.5061638868744,9500,6,5,1963,1963,1,1,8,5,1,247.0,2,1,1,1,609,785,1394,1394,0,1394,1,1,3,1,2,6,1,2,1,1963.0,1,2,514,0,76,0,7,2009,159000
367,367,80,101.0,9150,6,5,1962,1962,1,6,8,5,1,305.0,2,1,1,2,371,728,1099,1431,0,1431,1,0,3,1,2,6,1,1,6,1962.0,1,1,296,64,110,0,12,2008,165000
368,368,20,78.0,7800,5,6,1954,1954,1,1,4,4,1,200.0,1,2,1,1,540,728,1268,1268,0,1268,1,0,2,1,2,7,1,1,1,1954.0,3,1,244,0,98,0,3,2010,132000
369,369,20,1978.5061638868744,9830,5,7,1959,2006,1,1,3,6,2,0.0,2,2,1,1,72,733,1063,1287,0,1287,1,0,3,1,1,7,1,1,2,1997.0,3,2,576,364,17,0,3,2010,162000
370,370,60,1978.5061638868744,8121,6,5,2000,2000,1,1,1,1,2,0.0,1,1,1,1,0,953,953,953,711,1664,2,1,3,1,2,7,1,1,1,2000.0,1,2,460,100,40,0,1,2006,172400
371,371,50,80.0,17120,4,4,1959,1959,1,1,6,5,2,0.0,2,4,3,5,0,0,0,1120,468,1588,2,0,4,1,2,7,4,1,2,1991.0,3,2,680,0,59,0,7,2008,134432
372,372,120,50.0,7175,6,5,1984,1984,1,1,8,5,2,0.0,2,1,1,1,623,0,744,752,0,752,1,0,2,1,2,4,1,0,1,1984.0,2,1,264,353,0,0,2,2010,125000
373,373,20,79.0,10634,5,6,1953,1953,1,1,2,2,2,0.0,1,2,1,1,428,0,608,1319,0,1319,1,0,3,1,2,5,4,0,1,1953.0,2,1,270,66,0,0,11,2009,123000
374,374,60,65.0,8200,7,5,2003,2004,1,1,1,1,2,0.0,1,1,1,1,0,847,847,847,1081,1928,2,1,4,1,1,8,1,1,3,2003.0,3,2,434,100,48,0,7,2007,219500
375,375,30,1978.5061638868744,10020,1,1,1922,1950,1,1,3,6,2,0.0,3,5,5,2,350,333,683,904,0,904,0,1,1,1,4,4,3,0,5,1978.5061638868744,4,0,0,0,0,0,3,2009,61000
376,376,85,57.0,8846,5,5,1996,1996,1,1,1,1,2,0.0,1,1,1,4,298,572,870,914,0,914,1,0,2,1,2,5,1,0,2,1998.0,2,2,576,0,0,0,7,2006,148000
377,377,60,102.0,11143,8,5,2004,2005,1,1,7,7,2,0.0,1,1,1,1,0,1580,1580,1580,886,2466,3,0,4,1,1,8,1,1,1,2004.0,1,2,610,159,214,0,12,2007,340000
378,378,20,88.0,11394,9,2,2010,2010,2,1,1,1,3,350.0,1,3,1,4,1445,411,1856,1856,0,1856,1,1,1,1,3,8,1,1,1,2010.0,3,3,834,113,0,0,6,2010,394432
379,379,60,60.0,8123,6,5,2000,2000,1,1,1,1,1,16.0,1,1,1,1,0,982,982,1007,793,1800,2,1,3,1,2,7,1,1,1,2000.0,3,2,463,100,63,0,6,2009,179000
380,380,50,50.0,5000,5,6,1924,1950,1,1,5,6,2,0.0,3,2,1,1,218,808,1026,1026,665,1691,2,0,3,1,1,6,1,1,2,1924.0,2,1,308,0,0,242,5,2010,127000
381,381,20,60.0,7200,7,5,2006,2006,1,1,1,1,2,0.0,1,1,2,1,0,1293,1293,1301,0,1301,2,0,2,1,1,5,1,1,1,2006.0,1,2,572,216,121,0,8,2006,187750
382,382,60,79.0,9245,7,5,2006,2006,1,1,1,1,2,0.0,1,1,1,4,0,939,939,939,858,1797,2,1,3,1,1,8,1,0,1,2006.0,1,2,639,144,53,0,4,2007,213500
383,383,45,60.0,9000,6,3,1928,1950,1,1,3,6,2,0.0,3,5,4,1,0,784,784,784,0,784,1,0,2,1,2,5,1,0,2,1950.0,2,2,360,0,0,91,10,2009,76000
384,384,60,1978.5061638868744,53107,6,5,1992,1992,1,1,4,4,2,0.0,1,1,1,4,985,595,1580,1079,874,1953,2,1,3,1,1,9,1,2,1,1992.0,3,2,501,216,231,0,6,2007,240000
385,385,120,43.0,3182,8,5,2004,2005,1,1,1,1,1,16.0,1,1,1,1,24,1232,1256,1269,0,1269,2,0,2,1,1,6,1,1,1,2004.0,3,2,430,146,20,0,4,2010,192000
386,386,50,58.0,8410,5,3,1910,1996,3,1,3,1,2,0.0,1,2,1,1,0,658,658,658,526,1184,1,0,5,1,2,8,1,0,5,1978.5061638868744,4,0,0,0,151,0,5,2006,81000
387,387,80,72.0,7200,6,6,1976,1976,2,1,2,2,1,255.0,2,2,1,4,631,410,1041,1125,0,1125,1,0,3,1,2,6,1,1,2,1977.0,2,1,352,296,0,0,10,2009,125000
388,388,20,93.0,9382,7,5,1999,2000,1,1,1,1,1,125.0,1,1,1,1,0,1468,1468,1479,0,1479,2,0,3,1,1,6,1,0,1,1999.0,1,2,577,120,25,0,7,2008,191000
389,389,60,96.0,12474,10,5,2007,2008,1,1,1,1,3,272.0,1,3,1,4,1280,402,1682,1742,590,2332,2,1,3,1,3,9,1,1,3,2008.0,3,3,846,196,134,0,8,2008,426000
390,390,50,50.0,8405,5,8,1900,1950,1,1,2,2,2,0.0,3,2,2,1,241,229,861,961,406,1367,1,0,4,1,2,7,1,0,2,1978.0,2,1,384,0,130,112,4,2008,119000
391,391,60,71.0,12209,6,5,2001,2002,1,1,1,1,2,0.0,1,3,1,1,690,114,804,804,1157,1961,2,1,3,1,1,7,1,1,3,2001.0,3,2,560,125,192,0,6,2009,215000
392,392,20,1978.5061638868744,8339,5,7,1959,1959,1,1,2,2,2,0.0,5,4,3,5,0,0,0,882,0,882,1,0,3,1,2,5,1,0,1,1959.0,1,1,294,0,0,0,7,2007,106500
393,393,30,1978.5061638868744,7446,4,5,1941,1950,1,1,6,3,2,0.0,2,2,1,1,266,522,788,788,0,788,1,0,2,1,2,4,1,2,5,1978.5061638868744,4,0,0,0,0,0,4,2006,100000
394,394,50,60.0,10134,5,6,1940,1950,1,1,2,2,2,0.0,2,2,1,1,0,735,735,735,299,1034,1,0,2,1,2,5,1,0,2,1940.0,2,1,240,0,39,0,7,2007,109000
395,395,20,68.0,9571,5,6,1956,1956,1,1,3,6,2,0.0,2,2,1,4,739,405,1144,1144,0,1144,1,0,3,1,2,6,1,0,1,1956.0,2,1,596,44,0,0,6,2010,129000
396,396,20,60.0,7200,5,5,1972,1972,2,1,2,2,2,0.0,2,2,1,4,777,117,894,894,0,894,1,0,2,1,2,6,1,0,2,1985.0,1,2,600,215,0,0,9,2009,123000
397,397,60,69.0,7590,5,5,1962,1962,1,1,1,1,1,288.0,2,2,1,1,540,324,864,876,936,1812,2,0,4,1,2,8,1,1,1,1962.0,1,1,264,0,168,0,7,2007,169500
398,398,30,60.0,8967,5,2,1920,1950,1,1,2,2,2,0.0,3,5,5,1,0,961,961,1077,0,1077,1,0,2,1,2,6,6,0,2,1920.0,2,1,338,0,0,0,11,2007,67000
399,399,60,65.0,8125,7,5,2006,2007,1,1,7,7,3,100.0,1,1,1,1,812,280,1092,1112,438,1550,2,0,2,1,1,7,1,0,1,2007.0,3,2,438,0,168,0,10,2009,241000
400,400,120,38.0,14963,8,5,1996,1996,1,1,5,8,2,0.0,1,1,1,1,786,474,1260,1288,0,1288,1,1,1,1,3,4,1,2,1,1996.0,3,2,500,120,30,0,12,2008,245500
401,401,20,65.0,8767,7,5,2005,2005,1,1,1,1,2,0.0,1,1,1,4,24,1286,1310,1310,0,1310,2,0,3,1,1,6,1,1,1,2005.0,3,2,400,0,0,0,7,2006,164990
402,402,30,60.0,10200,5,8,1940,1997,1,1,3,6,2,0.0,1,2,1,1,0,672,672,672,0,672,1,0,2,1,2,4,1,0,2,1940.0,2,1,240,168,0,0,8,2008,108000
403,403,60,93.0,12090,8,5,1998,1998,2,1,1,1,1,650.0,1,1,1,1,0,1141,1141,1165,1098,2263,2,1,4,1,1,10,1,1,3,1998.0,3,2,420,144,123,0,7,2006,258000
404,404,60,1978.5061638868744,10364,6,5,1995,1996,1,1,2,2,2,0.0,1,1,1,1,0,806,806,806,766,1572,2,1,3,1,2,7,1,1,3,1995.0,3,2,373,0,40,0,5,2007,168000
405,405,20,1978.5061638868744,9991,4,4,1976,1993,1,1,8,5,2,0.0,2,2,1,1,1116,165,1281,1620,0,1620,2,0,3,1,2,8,2,1,1,1993.0,2,2,490,120,78,0,6,2009,150000
406,406,50,51.0,10480,6,5,1936,1950,1,1,2,2,2,0.0,3,2,1,1,0,1064,1064,1166,0,1639,1,0,3,1,2,6,6,0,2,1936.0,2,1,240,0,0,0,3,2008,115000
407,407,70,63.0,15576,6,7,1915,1976,1,1,3,5,2,0.0,3,1,1,1,0,840,840,840,840,1680,2,0,4,1,2,8,1,0,1,1960.0,2,1,308,0,0,160,3,2008,177000
408,408,60,109.0,14154,7,5,2006,2006,1,1,1,1,1,350.0,1,3,2,1,0,1063,1063,1071,1101,2172,2,1,3,1,1,9,1,1,1,2006.0,1,3,947,192,62,0,8,2007,280000
409,409,60,85.0,10800,8,5,2007,2008,1,1,1,1,3,100.0,1,3,1,1,789,245,1034,1050,1028,2078,2,1,3,1,3,8,1,1,1,2008.0,3,3,836,0,102,0,4,2008,339750
410,410,20,68.0,9571,5,3,1958,1958,1,1,11,11,2,0.0,2,2,4,1,0,1276,1276,1276,0,1276,1,0,3,1,2,5,5,0,1,1958.0,2,1,350,0,0,0,6,2009,60000
411,411,190,100.0,34650,5,5,1955,1955,2,1,3,6,2,0.0,2,2,1,3,1056,0,1056,1056,0,1056,1,0,3,1,2,5,1,0,1,1955.0,3,2,572,264,0,0,1,2006,145000
412,412,20,1978.5061638868744,4403,7,5,2009,2009,1,1,2,2,3,432.0,1,3,1,4,578,892,1470,1478,0,1478,2,1,2,1,1,7,1,1,1,2009.0,3,2,484,0,144,0,6,2010,222000
413,413,30,56.0,8960,5,6,1927,1950,1,1,6,3,2,0.0,2,2,1,1,0,1008,1008,1028,0,1028,1,0,2,1,2,5,1,1,2,1927.0,2,2,360,0,0,130,3,2010,115000
414,414,60,59.0,11228,7,5,1993,1993,1,1,1,1,2,0.0,1,1,1,1,50,499,1080,1080,1017,2097,2,1,3,1,1,9,1,1,1,1993.0,2,3,678,196,187,0,12,2008,228000
415,415,20,73.0,8899,7,5,2007,2007,1,1,1,1,2,0.0,1,1,1,4,24,1316,1340,1340,0,1340,2,0,3,1,1,6,1,0,1,2007.0,3,2,396,100,30,0,8,2007,181134
416,416,60,74.0,7844,6,7,1978,1978,2,1,4,4,1,203.0,2,2,1,1,209,463,672,672,728,1400,1,1,3,1,2,6,1,1,1,1978.0,3,2,440,0,0,0,3,2006,149500
417,417,70,86.0,22420,6,6,1918,1950,2,1,3,9,2,0.0,3,1,1,1,1128,242,1370,1370,1254,2624,2,1,4,1,2,10,1,1,2,1918.0,2,3,864,0,0,0,11,2007,239000
418,418,50,60.0,8160,5,6,1940,1950,1,1,2,2,2,0.0,3,2,1,1,312,444,756,756,378,1134,1,1,3,1,2,7,1,0,2,1940.0,2,1,240,0,0,0,4,2007,126000
419,419,20,65.0,8450,5,6,1968,1968,1,1,1,1,2,0.0,2,2,1,1,775,281,1056,1056,0,1056,1,0,3,1,2,6,1,1,1,1968.0,2,1,304,0,85,184,7,2010,142000
420,420,90,78.0,7060,7,5,1997,1998,1,1,1,1,1,200.0,1,1,2,2,1309,35,1344,1344,0,1344,2,0,2,2,2,8,1,0,1,1997.0,3,4,784,0,0,0,11,2008,206300
421,421,20,1978.5061638868744,16635,6,7,1977,2000,1,1,7,7,3,126.0,2,1,1,1,1246,356,1602,1602,0,1602,2,0,3,1,1,8,1,1,1,1977.0,3,2,529,240,0,0,6,2009,215000
422,422,20,100.0,21750,5,5,1954,1954,2,1,4,4,2,0.0,2,2,1,1,0,988,988,988,0,988,1,0,2,1,2,4,1,0,1,1954.0,1,2,520,0,0,0,2,2008,113000
423,423,60,80.0,9200,8,5,1998,1998,1,1,1,1,1,473.0,1,1,1,1,986,484,1470,1470,1160,2630,2,1,4,1,1,8,1,1,1,1998.0,3,3,696,0,66,0,6,2008,315000
424,424,20,72.0,9000,6,5,1956,1956,1,1,3,6,1,74.0,2,1,1,1,616,580,1196,1196,0,1196,1,0,2,1,2,6,1,1,1,1956.0,1,1,297,0,44,0,5,2008,139000
425,425,60,60.0,3378,7,8,1946,1992,1,1,4,4,2,0.0,2,2,1,1,0,651,651,707,682,1389,1,1,3,1,2,6,1,2,2,1947.0,2,1,240,0,0,126,9,2009,135000
426,426,80,1978.5061638868744,12800,7,5,1989,1989,1,1,3,6,1,145.0,1,1,1,2,1518,0,1518,1644,0,1644,2,0,2,1,1,5,1,1,1,1989.0,3,2,569,80,0,0,8,2009,275000
427,427,20,77.0,8593,4,6,1957,1957,2,1,2,2,2,0.0,2,2,1,1,288,619,907,907,0,907,1,0,3,1,2,5,1,0,2,1964.0,2,1,352,0,0,0,7,2008,109008
428,428,20,64.0,6762,7,5,2007,2007,1,1,1,1,1,108.0,1,1,1,1,664,544,1208,1208,0,1208,2,0,2,1,1,6,1,0,1,2007.0,1,2,628,105,54,0,9,2007,195400
429,429,20,130.0,11457,6,5,1988,1988,1,1,4,4,2,0.0,2,1,1,3,1005,387,1392,1412,0,1412,2,0,3,1,1,6,1,1,1,1988.0,2,2,576,0,0,169,3,2009,175000
430,430,160,21.0,1680,6,5,1971,1971,1,1,4,4,1,232.0,2,2,1,1,387,96,483,483,504,987,1,1,2,1,2,4,1,0,2,1971.0,2,1,264,0,0,0,7,2008,85400
431,431,50,60.0,5586,6,7,1920,1998,1,1,2,2,2,0.0,3,2,1,1,0,901,901,1088,110,1198,1,0,4,1,2,7,1,0,5,1978.5061638868744,4,0,0,0,98,0,9,2008,79900
432,432,160,24.0,1920,5,5,1971,1971,1,1,4,4,1,376.0,2,2,1,1,471,294,765,765,600,1365,1,1,2,1,2,6,2,0,2,1971.0,2,2,440,240,36,0,8,2007,122500
433,433,60,100.0,10839,6,5,1997,1998,1,1,1,1,2,0.0,1,1,1,1,0,926,926,926,678,1604,2,1,3,1,2,7,1,1,1,1997.0,3,2,470,0,36,0,7,2008,181000
434,434,180,21.0,1890,4,7,1972,1972,1,1,7,7,2,0.0,2,1,1,4,495,135,630,630,0,630,1,0,1,1,2,3,1,0,5,1978.5061638868744,4,0,0,88,0,0,6,2008,81000
435,435,60,43.0,10667,7,6,1996,1996,1,1,1,1,2,0.0,1,1,1,4,385,70,799,827,834,1661,2,1,3,1,1,6,1,1,1,1996.0,1,2,550,158,61,0,4,2009,212000
436,436,50,40.0,4400,6,8,1920,1950,1,1,10,9,2,0.0,3,5,1,1,0,648,648,734,384,1118,1,0,2,1,2,6,1,0,2,1990.0,2,2,440,0,0,0,10,2006,116000
437,437,45,50.0,6000,6,7,1926,2004,1,1,3,6,2,0.0,1,2,1,1,0,884,884,904,0,904,1,0,2,1,2,4,1,0,2,1926.0,2,1,180,0,0,105,1,2009,119000
438,438,30,40.0,4280,5,6,1913,2002,1,1,6,9,2,0.0,1,2,1,1,365,75,440,694,0,694,1,0,2,1,1,4,1,1,2,1990.0,2,1,352,0,0,34,3,2007,90350
439,439,50,67.0,12354,6,8,1920,2000,1,1,3,6,2,0.0,3,2,4,3,0,684,684,684,512,1196,1,0,3,1,1,7,1,0,2,2005.0,2,2,528,0,46,0,8,2009,110000
440,440,20,105.0,15431,10,5,2008,2008,2,1,1,1,3,200.0,1,3,1,2,1767,788,3094,2402,0,2402,2,0,2,1,3,10,1,2,1,2008.0,3,3,672,0,72,0,4,2009,555000
441,441,90,92.0,12108,4,4,1955,1955,1,1,1,1,1,270.0,2,2,1,1,133,1307,1440,1440,0,1440,2,0,4,2,4,8,1,0,5,1978.5061638868744,4,0,0,0,0,0,9,2008,118000
442,442,50,52.0,6240,5,7,1930,1992,1,1,2,2,2,0.0,1,2,1,1,0,1078,1078,1128,445,1573,2,0,3,1,2,8,1,1,2,1930.0,2,2,360,0,0,0,6,2008,162900
443,443,120,53.0,3922,7,5,2006,2007,1,1,6,3,1,72.0,1,3,1,4,0,1258,1258,1258,0,1258,2,0,2,1,1,6,1,1,1,2007.0,3,3,648,144,16,0,6,2007,172500
444,444,60,70.0,8750,7,5,1994,1995,1,1,1,1,2,0.0,1,1,1,1,642,273,915,933,975,1908,2,1,4,1,1,8,1,1,1,1994.0,2,2,493,144,133,0,7,2008,210000
445,445,20,73.0,9855,6,5,1956,1956,2,1,3,6,2,0.0,2,2,1,1,0,1436,1436,1689,0,1689,1,0,3,1,2,7,1,1,1,1956.0,2,2,480,0,0,0,11,2009,127500
446,446,20,137.0,16492,6,6,1966,2002,1,1,5,5,2,0.0,2,2,1,1,247,557,1517,1888,0,1888,2,1,2,1,1,6,5,1,1,1966.0,3,2,578,0,0,0,6,2010,190000
447,447,60,1978.5061638868744,11214,7,5,1998,1999,1,1,1,1,2,0.0,1,1,1,1,0,930,930,956,930,1886,2,1,4,1,1,10,1,1,1,1998.0,3,2,431,89,0,0,7,2006,199900
448,448,50,50.0,8600,6,6,1937,1950,1,1,2,2,2,0.0,3,2,1,1,0,780,780,780,596,1376,2,0,3,1,2,7,1,1,2,1937.0,2,1,198,0,0,0,6,2006,119500
449,449,50,50.0,6000,3,7,1948,2002,1,1,2,2,2,0.0,2,2,1,1,331,318,649,679,504,1183,1,1,2,1,2,6,1,0,2,1981.0,2,1,308,0,176,0,6,2007,120000
450,450,30,70.0,5684,6,8,1930,2005,2,1,3,6,2,0.0,3,2,1,1,0,813,813,813,0,813,1,0,2,1,1,5,1,0,2,1932.0,2,1,270,0,113,0,6,2006,110000
451,451,20,62.0,70761,7,5,1975,1975,1,2,8,5,2,0.0,2,1,1,2,655,878,1533,1533,0,1533,2,0,2,1,1,5,1,2,1,1975.0,2,2,576,200,54,0,12,2006,280000
452,452,60,1978.5061638868744,9303,6,5,1996,1997,2,1,1,1,1,42.0,1,3,1,1,742,130,872,888,868,1756,2,1,3,1,2,7,1,0,1,1996.0,3,2,422,144,122,0,7,2007,204000
453,453,60,75.0,9000,8,5,2008,2008,1,1,1,1,2,0.0,1,1,1,1,0,768,768,786,804,1590,2,1,3,1,1,6,1,0,1,2008.0,1,2,676,0,30,0,6,2009,210000
454,454,90,63.0,9297,5,5,1976,1976,1,1,8,5,2,0.0,2,2,1,1,1606,122,1728,1728,0,1728,2,0,4,2,2,8,1,0,2,1976.0,2,2,560,0,0,0,7,2006,188000
455,455,20,80.0,9600,7,6,1973,1973,2,1,4,4,1,320.0,2,2,1,1,916,326,1242,1242,0,1242,1,1,3,1,2,6,1,1,1,1973.0,2,2,528,0,0,0,9,2007,175500
456,456,70,34.0,4571,5,5,1916,1950,1,1,9,10,2,0.0,3,2,1,1,0,624,624,624,720,1344,1,0,4,1,2,7,1,0,2,1916.0,2,3,513,0,0,96,5,2008,98000
457,457,20,1978.5061638868744,53227,4,6,1954,1994,5,6,8,5,2,0.0,2,1,1,2,1116,248,1364,1663,0,1663,1,0,2,1,1,6,2,2,1,1954.0,3,2,529,224,137,0,3,2008,256000
458,458,70,1978.5061638868744,5100,8,7,1925,1996,2,1,10,3,2,0.0,1,2,1,1,0,588,588,833,833,1666,1,0,3,1,1,7,1,1,2,1925.0,2,1,228,192,63,0,6,2008,161000
459,459,50,1978.5061638868744,7015,5,4,1950,1950,1,1,2,2,4,161.0,2,2,1,1,185,524,709,979,224,1203,1,0,3,1,1,5,1,1,2,1950.0,2,1,352,0,0,248,7,2009,110000
460,460,60,75.0,8004,8,5,2009,2009,1,1,1,1,3,110.0,1,1,1,1,544,288,832,832,1103,1935,2,1,3,1,2,8,1,0,3,2009.0,3,2,552,0,150,0,12,2009,263435
461,461,70,60.0,7200,7,9,1936,2007,1,1,3,6,2,0.0,1,1,2,1,350,0,560,575,560,1135,1,0,3,1,1,6,1,0,2,1971.0,1,2,576,256,0,0,4,2009,155000
462,462,20,60.0,8281,5,5,1965,1965,1,1,2,2,2,0.0,2,2,1,1,553,0,864,864,0,864,1,0,3,1,2,5,1,1,2,1965.0,2,1,360,0,0,236,12,2009,62383
463,463,70,74.0,11988,6,7,1934,1995,2,1,10,9,2,0.0,2,2,1,1,326,389,715,849,811,1660,1,1,3,1,2,6,1,1,2,1939.0,2,1,240,0,0,0,8,2008,188700
464,464,20,60.0,8430,5,5,1978,1978,1,1,4,4,1,136.0,2,1,1,1,616,424,1040,1040,0,1040,2,0,3,1,2,5,1,0,5,1978.5061638868744,4,0,0,0,0,0,8,2009,124000
465,465,120,1978.5061638868744,3072,7,5,2004,2004,2,1,1,1,1,18.0,1,1,1,1,0,1375,1375,1414,0,1414,2,0,2,1,1,6,1,1,1,2004.0,3,2,398,144,20,0,5,2006,178740
466,466,20,85.0,10628,7,5,1970,1970,5,6,8,5,2,0.0,2,2,2,2,778,499,1277,1277,0,1277,1,0,2,1,2,5,1,1,1,1970.0,2,2,526,0,0,0,4,2007,167000
467,467,70,79.0,9480,5,7,1942,1995,1,1,2,2,3,224.0,2,2,1,1,386,342,728,888,756,1644,1,1,3,1,1,7,1,2,1,1942.0,2,1,312,168,0,0,6,2007,146500
468,468,20,98.0,11428,8,5,2006,2006,1,1,1,1,3,248.0,1,1,1,1,0,1626,1626,1634,0,1634,2,0,3,1,1,7,1,1,1,2006.0,1,3,866,0,44,0,5,2007,250000
469,469,60,76.0,9291,6,5,1993,1993,1,1,4,4,1,120.0,1,1,1,1,426,406,832,832,878,1710,2,1,3,1,1,7,1,0,1,1993.0,1,2,506,144,70,0,6,2008,187000
470,470,120,1978.5061638868744,6820,8,5,1985,1985,1,1,4,4,2,0.0,1,1,1,4,368,0,1488,1502,0,1502,1,1,1,1,1,4,1,0,1,1985.0,1,2,528,0,54,0,6,2010,212000
471,471,60,92.0,11952,7,6,1977,1977,4,4,6,5,2,0.0,2,1,1,1,0,808,808,1161,808,1969,2,1,3,1,2,8,1,1,1,1977.0,1,2,534,0,0,0,11,2007,190000
472,472,180,35.0,3675,6,5,2005,2005,1,1,1,1,1,80.0,1,1,1,2,459,88,547,1072,0,1072,1,0,2,1,2,5,1,0,6,2005.0,1,2,525,0,28,0,6,2008,148000
